	"Вид_работ
(Group)"	"Наименование_работ
(In group)"	"Объем
(Исходный)"	Вып. до 04.2026	"План на объем
Begin"	Ед.изм.	Норма расхода ч/ч на ед. объем
202АС.9.131	Стеновое ограждение	Монтаж ограждающих конструкций стен из многослойных панелей заводской готовности при высоте до 50 м	31,5	0	31,5	м2	0,48
202АС.10.132	Козырьки и крыльца	Наружная облицовка стен металлосайдингом в горизонтальном исполнении по каркасу	28	0	28	м2	0,82
202АС.10.133	Козырьки и крыльца	Монтаж мк крылец с обрамлением профлистом	15	0	15	м2	1,14
202АС.10.136	Козырьки и крыльца	Устройство мелких покрытий (брандмауэры, парапеты, свесы) из листовой оцинкованной стали	12,6	0	12,6	м2	0,74
202АС.10.145	Крыльца и отмостка	Устройство плитки крылец 6К3	9	0	9	м2	1,42
202АС.10.148	Крыльца и отмостка	Покрытие площадки из сборных бетонных плит тротуарного типа 6К7 с заполнением швов цементно-песчаной смесью 1:10	91	0	91	м2	0,59
202АС.11.150	Заполнение проемов	Замена стеклопакетов оконных	6	0	6	м2	0,72
202АС.12.157	Фальшполы	Повторный монтаж покрытия полов (фальшпол) съемных металлических полов из плит размером 500х500 мм	37,84	0	37,84	м2	0,62
202АС.13.158	Полы и отделка	Демонтаж треснувших покрытия из плиток керамических на плиточном клее Глимс-96	5	0	5	м2	0,14
202АС.13.159	Полы и отделка	Устройство покрытия из плиток керамических на плиточном клее Глимс-96	5	0	5	м2	1,18
202АС.13.161	Полы и отделка	Устройство покрытий на цементном растворе из плиток керамических для полов одноцветных с красителем	35,3	0	35,3	м2	0,94
202АС.14.164	Потолочные работы	Устройство подвесных потолков типа "Армстронг" по каркасу из оцинкованного профиля	250,29	0	250,29	м2	0,42
202АС.14.165	Потолочные работы	Покрытие поверхностей грунтовкой глубокого проникновения: за 1 раз потолков	45,6	0	45,6	м2	0,038
202АС.14.166	Потолочные работы	Окраска поливинилацетаными водоэмульсионными составами простая по штукатурке: потолков	45,6	0	45,6	м2	0,115
202АС.14.167	Потолочные работы	Улучшенная окраска акриловой краской ВД-К4 Интерьер	92	0	92	м2	0,11
202АС.15.168	Внутренняя отделка	Отделка стен внутри помещений мелкозернистыми декоративными минеральными покрытиями	305	0	305	м2	0,76
202АС.15.169	Внутренняя отделка	Огрунтовка ж.б. поверхностей акриловой пропиточной грунтовкой "Интерьер" по ГОСТ 52020-2003	70	0	70	м2	0,028
202АС.15.170	Внутренняя отделка	Окраска стен водоэмульсионной краской	70	0	70	м2	0,129
202АС.15.171	Внутренняя отделка	Улучшенная окраска акриловой краской ВД-К4 Интерьер в 2 слоя	1124	0	1124	м2	0,185
202АС.15.172	Внутренняя отделка	Облицовка стен декоративным бумажно-слоистым пластиком по сплошному основанию	94,8	0	94,8	м2	0,64
202АС.15.173	Внутренняя отделка	Окраска водно-дисперсионными акриловыми составами улучшенная: по штукатурке стен	22,6	0	22,6	м2	0,148
202АС.16.174	Антикоррозийная защита	Очистка кварцевым песком: сплошных наружных поверхностей	31,6	0	31,6	м2	0,32
